Amount,PersonID,FamilySize,Distance,Duration,DirectVisits,OnlineVisits,Quantity,NumberofFrequentItems,TransactionMode,Area,Occupation
2938,C5060,3,7,226,15,15,803,15,2,Area1,3
4313,C5061,2,6,273,12,12,881,12,2,Area1,2
5574,C5062,2,6,135,8,8,7,1,2,Area1,1
2898,C5063,2,5,347,12,9,678,6,1,Area1,2
2932,C5064,4,6,424,20,12,2038,20,1,Area1,2
5125,C5065,2,4,431,26,26,1166,26,2,Area1,3
5581,C5066,3,5,348,20,20,2933,13,2,Area1,2
3000,C5067,3,7,341,16,13,1250,16,1,Area1,2
9560,C1102,3,6,442,20,20,245,7,2,Area1,2
8376,C1105,4,9,422,44,31,1066,44,1,Area1,3
3188,C1107,4,12,369,25,15,75,25,2,Area1,3
5063,C1114,5,7,399,36,24,6411,36,2,Area1,1
2638,C1115,3,7,444,14,14,2804,14,1,Area1,3
2938,C1116,3,5,371,6,6,1746,6,2,Area1,2
4543,C1118,2,7,346,18,16,1029,14,1,Area1,2
4559,C1120,3,7,278,12,12,1080,8,1,Area1,3
2500,C1121,4,10,448,6,6,1016,6,2,Area1,2
4998,C1122,3,6,447,14,14,1617,11,2,Area1,1
3813,C1129,4,13,424,17,17,1606,17,2,Area1,1
2500,C1131,2,7,126,8,8,515,8,2,Area1,1
3125,C1134,3,6,181,14,14,221,14,2,Area1,2
2563,C1136,3,6,322,13,13,1911,13,1,Area1,3
6523,C1143,2,6,365,29,29,849,28,2,Area1,2
7031,C1147,3,6,435,23,23,865,23,2,Area1,1
6875,C1148,4,10,410,36,26,4481,36,2,Area1,1
3750,C1153,4,11,357,3,3,356,2,2,Area1,1
3250,C1158,3,7,368,1,1,159,0,2,Area1,2
3583,C1173,3,7,406,9,9,1096,9,2,Area2,3
3380,C1177,3,5,411,13,13,1588,13,2,Area2,1
4800,C1178,4,20,320,20,16,2458,20,1,Area2,2
3917,C1180,3,6,460,15,14,3885,15,2,Area2,1
2861,C1181,3,7,345,12,12,568,12,2,Area2,3
